dim2_type,dim2_code,dimension2_type,dimension2_code
sa2,140500,SA2,140500
sa2,140601,SA2,140601
sa2,140700,SA2,140700
sa2,140800,SA2,140800
sa2,140901,SA2,140901
sa2,140902,SA2,140902
sa2,141000,SA2,141000
sa2,141101,SA2,141101
sa2,141102,SA2,141102
sa2,141201,SA2,141201
sa2,141300,SA2,141300
sa2,141802,SA2,141802
sa2,142002,SA2,142002
sa2,143000,SA2,143000
sa2,143100,SA2,143100
sa2,143200,SA2,143200
sa2,143301,SA2,143301
sa2,143400,SA2,143400
sa2,143500,SA2,143500
sa2,143600,SA2,143600
sa2,143700,SA2,143700
sa2,143800,SA2,143800
sa2,143900,SA2,143900
sa2,144001,SA2,144001
sa2,144101,SA2,144101
sa2,144201,SA2,144201
sa2,144300,SA2,144300
sa2,144400,SA2,144400
sa2,145102,SA2,145102
sa2,146000,SA2,146000
sa2,146100,SA2,146100
sa2,146400,SA2,146400
sa2,146501,SA2,146501
sa2,146600,SA2,146600
sa2,146700,SA2,146700
sa2,146800,SA2,146800
sa2,146900,SA2,146900
sa2,147001,SA2,147001
sa2,147002,SA2,147002
sa2,147100,SA2,147100
sa2,147201,SA2,147201
sa2,147202,SA2,147202
sa2,147300,SA2,147300
sa2,147400,SA2,147400
sa2,148102,SA2,148102
sa2,149100,SA2,149100
sa2,149200,SA2,149200
sa2,149300,SA2,149300
sa2,149400,SA2,149400
sa2,149500,SA2,149500
sa2,149600,SA2,149600
sa2,149701,SA2,149701
sa2,149800,SA2,149800
sa2,149901,SA2,149901
sa2,150000,SA2,150000
sa2,150101,SA2,150101
sa2,150200,SA2,150200
sa2,150301,SA2,150301
sa2,150302,SA2,150302
sa2,150400,SA2,150400
sa2,150500,SA2,150500
sa2,152300,SA2,152300
sa2,152400,SA2,152400
sa2,152500,SA2,152500
sa2,152600,SA2,152600
sa2,152700,SA2,152700
sa2,152800,SA2,152800
sa2,152900,SA2,152900
sa2,153000,SA2,153000
sa2,153100,SA2,153100
sa2,153200,SA2,153200
sa2,153301,SA2,153301
sa2,153400,SA2,153400
sa2,153500,SA2,153500
sa2,154202,SA2,154202
sa2,155100,SA2,155100
sa2,155200,SA2,155200
sa2,155500,SA2,155500
sa2,155601,SA2,155601
sa2,155701,SA2,155701
sa2,155801,SA2,155801
sa2,155901,SA2,155901
sa2,156000,SA2,156000
sa2,156101,SA2,156101
sa2,156201,SA2,156201
sa2,156301,SA2,156301
sa2,156400,SA2,156400
sa2,156500,SA2,156500
sa2,156601,SA2,156601
sa2,156901,SA2,156901
sa2,158200,SA2,158200
sa2,158300,SA2,158300
